Country,Temp_moyenne,Temp_max,Nb_catastrophes,Catastrophe_principale
Afghanistan,17.780052591906333,25.57648422497057,205,Flood
Albania,17.71102615352832,21.626073132931936,44,Earthquake
Algeria,17.912317014806977,22.58206389408609,89,Flood
American Samoa,18.42257073311335,20.476534866226714,6,Storm
Angola,17.49411407750126,24.07237180242106,74,Flood
Anguilla,18.36962056470612,25.57648422497057,14,Storm
Antigua and Barbuda,17.540688040107636,20.393805008750448,13,Storm
Argentina,17.56104878309421,23.18564562903004,125,Flood
Armenia,19.69272903077883,25.57648422497057,12,Storm
Australia,17.81259812232026,25.57648422497057,247,Storm
Austria,18.256218882766632,21.626073132931936,53,Storm
Azerbaijan,18.422270468270977,24.07237180242106,16,Flood
Azores Islands,14.874859825134818,18.873352577681736,6,Earthquake
Bahamas (the),17.297295003588694,23.18564562903004,28,Storm
Bahrain,25.57648422497057,25.57648422497057,1,Epidemic
Bangladesh,17.955964770668487,25.57648422497057,356,Storm
Barbados,16.714807435560854,21.353094684667223,13,Storm
Belarus,18.030755954035175,25.57648422497057,14,Extreme temperature 
Belgium,17.26537735215081,22.055788089483038,73,Storm
Belize,17.979629981201498,25.57648422497057,22,Storm
Benin,17.858411829060486,25.57648422497057,52,Epidemic
Bermuda,17.41661842143923,21.77928731162801,6,Storm
Bhutan,17.631927031848353,21.48728998106578,12,Flood
Bolivia (Plurinational State of),18.09801367238054,25.57648422497057,102,Flood
Bosnia and Herzegovina,18.328745167515986,23.18564562903004,26,Flood
Botswana,18.410032967744048,22.58206389408609,23,Flood
Brazil,17.729633854188958,25.57648422497057,251,Flood
Brunei Darussalam,20.496972249101567,20.496972249101567,1,Wildfire
Bulgaria,18.241199339498674,22.055788089483038,50,Flood
Burkina Faso,17.803266418111587,22.58206389408609,65,Epidemic
Burundi,17.83722295024767,21.77928731162801,62,Flood
Cabo Verde,18.16347798965545,20.72046041988205,21,Drought
Cambodia,17.563765746012628,22.58206389408609,42,Flood
Cameroon,18.020020033855953,22.58206389408609,54,Epidemic
Canada,17.52542639571892,25.57648422497057,144,Storm
Canary Is,17.51992723233854,20.915100781445528,8,Storm
Cayman Islands (the),17.59424471006115,20.496972249101567,7,Storm
Central African Republic,18.209472285372655,24.07237180242106,44,Flood
Chad,17.46620900567164,24.07237180242106,64,Epidemic
Chile,17.660705533401703,24.07237180242106,118,Flood
China,17.81250400448139,25.57648422497057,980,Storm
Colombia,18.064590063315865,25.57648422497057,206,Flood
Comoros (the),18.35171661505248,21.05810171362908,25,Storm
Congo (the Democratic Republic of the),17.739207212235158,25.57648422497057,140,Epidemic
Congo (the),16.874030575900015,23.18564562903004,34,Epidemic
Cook Islands (the),18.080842168799762,22.453866065373543,14,Storm
Costa Rica,17.743037689635845,25.57648422497057,75,Flood
Croatia,17.91528089936439,22.58206389408609,30,Flood
Cuba,17.608339953714836,22.58206389408609,86,Storm
Cyprus,19.218549885623027,25.57648422497057,15,Storm
Czech Republic (the),18.69033410121759,23.18564562903004,29,Flood
Czechoslovakia,18.73409364826616,21.13080423540415,9,Extreme temperature 
CÃ´te dâIvoire,17.762823512894006,25.57648422497057,30,Epidemic
Denmark,17.446136356387647,22.453866065373543,16,Storm
Djibouti,18.595719928399124,24.07237180242106,26,Drought
Dominica,17.243634537065766,24.07237180242106,15,Storm
Dominican Republic (the),17.77508561648681,22.453866065373543,83,Storm
Ecuador,17.757983027892465,25.57648422497057,107,Flood
Egypt,17.529402228766067,23.18564562903004,36,Flood
El Salvador,17.75162235636567,25.57648422497057,72,Storm
Equatorial Guinea,19.480825733249706,19.480825733249706,1,Epidemic
Eritrea,19.56677311625733,24.07237180242106,8,Drought
Estonia,19.558397048804558,21.626073132931936,4,Extreme temperature 
Ethiopia,18.044426106192116,25.57648422497057,121,Flood
Fiji,17.672953696489202,22.58206389408609,62,Storm
Finland,20.245689242207586,21.626073132931936,3,Storm
France,17.594143517439946,25.57648422497057,183,Storm
French Guiana,18.561125956863147,20.392240554129152,3,Flood
French Polynesia,18.62113349851006,25.57648422497057,8,Storm
Gabon,19.00304083245334,25.57648422497057,13,Epidemic
Gambia (the),18.192574803144595,23.18564562903004,34,Flood
Georgia,17.78719448437753,23.18564562903004,25,Flood
Germany,18.102470483442655,25.57648422497057,82,Storm
Germany Dem Rep,17.686696796439552,21.353094684667223,3,Storm
Germany Fed Rep,17.36672250909969,22.055788089483038,20,Storm
Ghana,17.592480145479,23.18564562903004,54,Flood
Greece,17.98040771383407,25.57648422497057,104,Earthquake
Grenada,17.203544713223476,20.372110544359774,7,Storm
Guadeloupe,17.52014278102076,20.72046041988205,17,Storm
Guam,18.033396413989692,20.962480057141647,10,Storm
Guatemala,17.811067621810267,24.07237180242106,122,Flood
Guinea,17.48915296645075,25.57648422497057,38,Epidemic
Guinea-Bissau,17.372059223464422,21.353094684667223,25,Epidemic
Guyana,16.371810605135554,20.496972249101567,12,Flood
Haiti,18.212156035442767,25.57648422497057,131,Flood
Honduras,17.56992278801009,23.18564562903004,92,Flood
Hong Kong,18.085761656019084,24.07237180242106,137,Storm
Hungary,18.016754420700153,22.453866065373543,34,Flood
Iceland,18.11631709001535,25.57648422497057,13,Volcanic activity
India,18.039227340164373,25.57648422497057,752,Flood
Indonesia,17.94650144874739,25.57648422497057,572,Flood
Iran (Islamic Republic of),17.465955773293015,23.18564562903004,252,Earthquake
Iraq,17.700986247735184,24.07237180242106,27,Flood
Ireland,17.76462904438457,22.58206389408609,25,Storm
Isle of Man,13.46050979182051,13.46050979182051,1,Storm
Israel,17.893094962558774,23.18564562903004,20,Flood
Italy,17.596598433274558,24.07237180242106,173,Flood
Jamaica,18.72979777556187,25.57648422497057,56,Storm
Japan,17.853705719833812,25.57648422497057,375,Storm
Jordan,16.213107248791857,20.476534866226714,18,Flood
Kazakhstan,17.485534726324424,22.453866065373543,26,Flood
Kenya,17.266195066016238,25.57648422497057,122,Flood
Kiribati,17.140263672127073,20.72046041988205,6,Flood
Korea (the Democratic People's Republic of),17.879520354465168,25.57648422497057,47,Flood
Korea (the Republic of),18.111098168055687,25.57648422497057,124,Storm
Kuwait,17.548957504404587,18.873352577681736,3,Flood
Kyrgyzstan,17.71451387841707,25.57648422497057,31,Landslide
Lao People's Democratic Republic (the),18.182428391001075,25.57648422497057,54,Flood
Latvia,17.446641125347355,21.05810171362908,9,Extreme temperature 
Lebanon,17.87378588626027,22.453866065373543,14,Storm
Lesotho,18.32631257346784,25.57648422497057,25,Drought
Liberia,18.22499828095176,22.055788089483038,24,Epidemic
Libya,19.117761968502457,21.13080423540415,5,Flood
Lithuania,17.226162237657785,25.57648422497057,14,Extreme temperature 
Luxembourg,17.582690140725546,21.13080423540415,13,Storm
Macao,18.327667289954825,22.58206389408609,7,Storm
Macedonia (the former Yugoslav Republic of),18.23743177399095,23.18564562903004,24,Flood
Madagascar,17.692681826262984,24.07237180242106,90,Storm
Malawi,17.91095262563848,23.18564562903004,72,Flood
Malaysia,18.085549003279812,25.57648422497057,97,Flood
Maldives,18.083155507883813,20.730576460589518,8,Flood
Mali,17.96418073766126,25.57648422497057,62,Flood
Marshall Islands (the),18.467127386335132,20.730576460589518,7,Drought
Martinique,16.69204154595246,21.48728998106578,18,Storm
Mauritania,17.755508230805482,22.58206389408609,47,Flood
Mauritius,17.740779892847897,22.453866065373543,23,Storm
Mexico,17.52834526726656,23.18564562903004,293,Storm
Micronesia (Federated States of),16.792401954843623,21.77928731162801,11,Storm
Moldova (the Republic of),19.040355155255337,25.57648422497057,16,Flood
Mongolia,17.818264142288808,24.07237180242106,39,Storm
Montenegro,18.337817647434477,21.626073132931936,6,Flood
Montserrat,17.121895059397392,22.055788089483038,8,Storm
Morocco,17.49274613653393,23.18564562903004,62,Flood
Mozambique,18.0068896719231,25.57648422497057,117,Flood
Myanmar,17.767551134362588,25.57648422497057,84,Flood
Namibia,18.043239667420977,21.77928731162801,32,Flood
Nepal,17.921808820069575,24.07237180242106,131,Flood
Netherlands (the),17.803056297798662,25.57648422497057,40,Storm
Netherlands Antilles,18.1232214818795,20.915100781445528,4,Storm
New Caledonia,17.79525850115378,21.48728998106578,18,Storm
New Zealand,17.232851307463662,23.18564562903004,79,Flood
Nicaragua,17.79864866666083,25.57648422497057,85,Storm
Niger (the),17.6846416816801,23.18564562903004,101,Epidemic
Nigeria,17.733575397473157,25.57648422497057,137,Epidemic
Niue,15.86754373505898,23.18564562903004,6,Storm
Northern Mariana Islands (the),17.598372233232684,20.393805008750448,5,Storm
Norway,19.673277284310476,23.18564562903004,13,Storm
Oman,17.70299762492584,21.626073132931936,16,Storm
Pakistan,18.331133583705956,25.57648422497057,233,Flood
Palau,18.41329991586186,21.626073132931936,5,Storm
"Palestine, State of",17.304957969756362,20.69915562566368,9,Flood
Panama,18.17061040710892,24.07237180242106,62,Flood
Papua New Guinea,17.768108848919297,24.07237180242106,89,Flood
Paraguay,17.956083489131284,25.57648422497057,59,Flood
Peru,18.066157564435947,25.57648422497057,202,Flood
Philippines (the),17.984858844140348,25.57648422497057,668,Storm
Poland,18.392319395711613,25.57648422497057,59,Storm
Portugal,17.752445044271894,24.07237180242106,51,Flood
Puerto Rico,18.504691261642744,22.58206389408609,37,Storm
Qatar,17.343722471738246,17.343722471738246,1,Flood
Romania,18.041973994483673,25.57648422497057,101,Flood
Russian Federation (the),17.732624217872555,24.07237180242106,173,Flood
Rwanda,17.809983776726497,23.18564562903004,52,Flood
RÃ©union,18.236706062325567,22.58206389408609,14,Storm
Saint BarthÃ©lemy,19.6125602382324,19.6125602382324,1,Storm
"Saint Helena, Ascension and Tristan da Cunha",17.39273656237994,17.39273656237994,1,Storm
Saint Kitts and Nevis,18.862062978891434,21.353094684667223,10,Storm
Saint Lucia,16.973005826519312,21.626073132931936,21,Storm
Saint Martin (French Part),18.974094136476342,18.974094136476342,1,Storm
Saint Vincent and the Grenadines,17.831905202665318,24.07237180242106,24,Storm
Samoa,17.847140038532174,21.626073132931936,16,Storm
Sao Tome and Principe,18.46992886866787,20.392240554129152,4,Epidemic
Saudi Arabia,17.405529673216936,21.13080423540415,29,Flood
Senegal,18.856967370475374,25.57648422497057,54,Flood
Serbia,18.222189076086096,21.77928731162801,27,Flood
Serbia Montenegro,17.79592475154572,22.055788089483038,16,Flood
Seychelles,18.99626774183645,21.13080423540415,7,Epidemic
Sierra Leone,17.679362487825188,21.05810171362908,32,Epidemic
Singapore,17.558053274519697,20.496972249101567,4,Epidemic
Sint Maarten (Dutch part),14.461051228130096,14.461051228130096,1,Storm
Slovakia,17.76424354205476,25.57648422497057,23,Flood
Slovenia,17.942570526924833,24.07237180242106,10,Flood
Solomon Islands,17.59376593318765,23.18564562903004,39,Storm
Somalia,17.684659802713792,23.18564562903004,101,Flood
South Africa,17.913114897205386,25.57648422497057,110,Flood
South Sudan,17.675764429948384,22.453866065373543,25,Flood
Soviet Union,17.35944783395364,22.453866065373543,60,Earthquake
Spain,17.92197240737428,25.57648422497057,103,Flood
Sri Lanka,17.830631499087872,25.57648422497057,119,Flood
Sudan (the),18.030841944236556,24.07237180242106,103,Flood
Suriname,19.224132122677766,21.13080423540415,4,Flood
Swaziland,17.601865313186543,23.18564562903004,18,Drought
Sweden,17.69688500926854,25.57648422497057,16,Storm
Switzerland,17.809991665949568,24.07237180242106,61,Storm
Syrian Arab Republic,18.014742524512474,24.07237180242106,16,Flood
Taiwan (Province of China),17.72533939923118,25.57648422497057,131,Storm
Tajikistan,17.568460568918674,23.18564562903004,76,Flood
"Tanzania, United Republic of",17.712691839306096,23.18564562903004,114,Flood
Thailand,17.857881320724246,25.57648422497057,157,Flood
Timor-Leste,18.05351500345772,24.07237180242106,13,Flood
Togo,18.333461046119776,25.57648422497057,29,Flood
Tokelau,16.577134475991254,20.372110544359774,6,Storm
Tonga,17.924372844349715,25.57648422497057,24,Storm
Trinidad and Tobago,18.03821034435133,20.915100781445528,14,Storm
Tunisia,17.862824413596357,20.393805008750448,25,Flood
Turkey,17.967587542400057,24.07237180242106,205,Earthquake
Turkmenistan,18.189792459717637,19.90109025424472,2,Earthquake
Turks and Caicos Islands (the),17.52027290071562,20.007502219319367,7,Storm
Tuvalu,18.260280909180924,21.48728998106578,9,Storm
Uganda,17.717586126863758,25.57648422497057,104,Epidemic
Ukraine,18.334511648303756,25.57648422497057,39,Flood
United Arab Emirates (the),18.873352577681736,18.873352577681736,1,Flood
United Kingdom of Great Britain and Northern Ireland (the),17.92021708465971,22.58206389408609,98,Storm
United States of America (the),18.04560437096986,25.57648422497057,1087,Storm
Uruguay,18.002710069174306,25.57648422497057,34,Flood
Uzbekistan,19.56685839075018,22.453866065373543,9,Earthquake
Vanuatu,18.099338263910365,24.07237180242106,50,Storm
Venezuela (Bolivarian Republic of),17.26500581813553,25.57648422497057,60,Flood
Viet Nam,17.787549631783172,25.57648422497057,247,Storm
Virgin Island (British),16.42669144327141,19.23122509041052,4,Storm
Virgin Island (U.S.),16.815752800962297,20.392240554129152,8,Storm
Wallis and Futuna,20.024703279990263,21.353094684667223,5,Storm
Yemen,17.777145718085396,24.07237180242106,55,Flood
Yemen Arab Rep,16.860637535814924,19.90109025424472,9,Flood
Yemen P Dem Rep,17.791714594972216,21.05810171362908,7,Flood
Yugoslavia,16.694763331706753,22.453866065373543,22,Earthquake
Zambia,17.792988919881143,24.07237180242106,50,Flood
Zimbabwe,18.034976082370246,25.57648422497057,51,Epidemic
